UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,pct_secundaria_completa,POB_HAB,IDH_RANK
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,0.509728,4,1076.127823,72.291255,6.170758,51.419825,5660,462
090309,HUANCAVELICA,ANGARAES,JULCAMARCA,0.509657,4,710.414126,72.659201,8.305182,80.760943,1885,463
120211,JUNIN,CONCEPCION,MITO,0.509432,4,781.489885,69.800462,8.906553,68.308144,1270,464
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,0.509394,4,883.723553,71.57903,6.917166,67.858721,50553,465
060808,CAJAMARCA,JAEN,PUCARA,0.508906,4,903.534762,75.495939,6.743539,56.744923,6986,466
090509,HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,0.507785,4,978.425206,66.14726,7.012217,67.792603,2110,467
030401,APURIMAC,AYMARAES,CHALHUANCA,0.507622,4,783.237739,68.668088,9.169256,67.551305,5042,468
120428,JUNIN,JAUJA,SAN LORENZO,0.507016,4,762.340865,73.802062,8.358201,63.858479,2559,469
051001,AYACUCHO,VICTOR FAJARDO,HUANCAPI,0.50696,4,718.609573,78.672421,7.775172,65.553482,1586,470
090606,HUANCAVELICA,HUAYTARA,OCOYO,0.506607,4,1215.559779,65.009626,7.248449,43.198963,1960,471
081211,CUSCO,QUISPICANCHI,OROPESA,0.506558,4,844.311783,64.793709,8.358129,77.154174,8658,472
120212,JUNIN,CONCEPCION,NUEVE DE JULIO,0.506475,4,837.602649,71.136466,8.24845,59.296084,1555,473
240304,TUMBES,ZARUMILLA,PAPAYAL,0.506393,4,813.085796,71.096048,7.887329,66.887167,5253,474
140304,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,0.505917,4,777.552301,75.208494,7.516302,65.550879,18530,475
151008,LIMA,YAUYOS,CATAHUASI,0.505882,4,745.501648,80.510322,9.566166,43.09599,901,476
051005,AYACUCHO,VICTOR FAJARDO,CANARIA,0.505707,4,788.918057,73.916809,7.220155,70.476494,4106,477
120601,JUNIN,SATIPO,SATIPO,0.505554,4,816.746575,71.648348,8.33022,59.716611,42934,478
040801,AREQUIPA,LA UNION,COTAHUASI,0.505489,4,756.225312,78.851348,8.961208,47.970321,2826,479
220705,SAN MARTIN,PICOTA,PUCACACA,0.505409,4,885.659352,75.769142,6.797651,55.540054,2472,480
131201,LA LIBERTAD,VIRU,VIRU,0.50514,4,900.900383,77.132854,6.715329,51.520675,67612,481
040402,AREQUIPA,CASTILLA,ANDAGUA,0.504954,4,739.782929,75.517742,7.276301,74.173705,944,482
140110,LAMBAYEQUE,CHICLAYO,OYOTUN,0.504943,4,779.674978,79.350874,6.820894,62.596454,8235,483
250107,UCAYALI,CORONEL PORTILLO,MANANTAY,0.504829,4,844.511954,74.268529,8.086097,51.418945,88654,484
040515,AREQUIPA,CAYLLOMA,SIBAYO,0.504201,4,874.783643,81.003764,6.545462,48.618455,584,485
200802,PIURA,SECHURA,BELLAVISTA DE LA UNION,0.503932,4,735.243092,75.180887,8.232306,64.049624,4640,486
190302,PASCO,OXAPAMPA,CHONTABAMBA,0.503856,4,866.307058,72.287596,7.432952,58.386059,4553,487
200105,PIURA,PIURA,CATACAOS,0.503435,4,731.817669,78.143886,7.69862,62.515858,76221,488
