UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,pct_sin_cobertura,BASE_norm,pct_escuelas_operativas,S1_raw,S1_norm,pct_establecimientos_operativos,S2_raw,S2_norm,calidad_conexion,S3_raw,S3_norm,tiene_dependencia_policial,pct_operativas,S4_raw,S4_norm,IVDC_sectorial,IVDC_v2,quintil_ivdc_v2,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,IDH_num
220403,SAN MARTIN,HUALLAGA,EL ESLABON,31.48,0.3148,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.715595,5,0.359585,3,449.818438,75.625419,6.046978,0.359585
190304,PASCO,OXAPAMPA,PALCAZU,11.63,0.1163,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.597052,3,0.359346,3,448.525607,68.20923,6.637732,0.359346
010306,AMAZONAS,BONGARA,FLORIDA,2.08,0.0208,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.580523,3,0.359324,3,486.655229,71.891337,5.711381,0.359324
130802,LA LIBERTAD,PATAZ,BULDIBUYO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.692308,4,0.358869,3,520.22185,74.143272,4.899772,0.358869
021406,ANCASH,OCROS,CONGAS,16.67,0.1667,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.686545,4,0.358769,3,325.32823,76.131762,6.727194,0.358769
030606,APURIMAC,CHINCHEROS,ONGOY,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1,0.358659,3,440.914763,68.046638,4.978148,0.358659
100510,HUANUCO,HUAMALIES,SINGA,12.0,0.12,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.597692,3,0.358608,3,381.160922,75.583686,4.971522,0.358608
090703,HUANCAVELICA,TAYACAJA,ACRAQUIA,2.94,0.0294,100.0,0.0,0.0,100.0,0.0,0.0,3,2,0.4,0.0,,100.0,1.0,0.35,0.271605,2,0.358396,3,432.860201,72.750471,5.392351,0.358396
120427,JUNIN,JAUJA,RICRAN,30.91,0.3091,0.0,100.0,1.0,100.0,0.0,0.0,1,4,0.8,0.0,,100.0,1.0,0.7,0.588393,3,0.358272,3,478.771897,72.011541,5.203591,0.358272
080704,CUSCO,CHUMBIVILCAS,COLQUEMARCA,3.03,0.0303,100.0,0.0,0.0,100.0,0.0,0.0,2,3,0.6,0.0,,100.0,1.0,0.4,0.310489,2,0.358206,3,495.564827,73.721255,4.370934,0.358206
080806,CUSCO,ESPINAR,PICHIGUA,6.09,0.0609,100.0,0.0,0.0,100.0,0.0,0.0,3,2,0.4,0.0,,100.0,1.0,0.35,0.27415,2,0.35818,3,405.101177,66.627496,5.461563,0.35818
010107,AMAZONAS,CHACHAPOYAS,GRANADA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,1.0,0.0,100.0,1.0,0.85,0.653846,4,0.358001,3,766.805716,66.181836,4.600522,0.358001
030204,APURIMAC,ANDAHUAYLAS,HUANCARAMA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1,0.357821,3,450.968716,70.811869,4.934941,0.357821
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,1.0,0.0,100.0,1.0,0.9,0.692308,4,0.357542,3,632.910911,76.170183,4.435462,0.357542
120418,JUNIN,JAUJA,MOLINOS,38.89,0.3889,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.73013,5,0.357353,3,361.664193,73.353891,6.370749,0.357353
220204,SAN MARTIN,BELLAVISTA,HUALLAGA,29.55,0.2955,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.71181,5,0.357324,3,551.684578,71.968934,5.075745,0.357324
120606,JUNIN,SATIPO,PANGOA,35.55,0.3555,97.14,2.86,0.0286,100.0,0.0,0.0,5,0,0.0,1.0,100.0,0.0,0.0,0.00715,0.006087,1,0.357082,3,398.354193,73.749325,6.484926,0.357082
