UBIGEO,total_localidades_pronatel,localidades_operativas,localidades_en_ejecucion,localidades_proyectadas,pct_operativo,pob_cubierta_operativo,iiee_cubiertos,eess_cubiertos,dp_cubiertos
050203,5,5,0,0,100.0,1675,7,2,0
050206,4,4,0,0,100.0,1130,7,2,1
050302,2,2,0,0,100.0,1008,4,2,0
050303,1,1,0,0,100.0,293,2,1,0
050304,2,2,0,0,100.0,709,3,2,0
050401,5,5,0,0,100.0,1217,5,2,0
050402,3,3,0,0,100.0,485,2,2,0
050403,3,3,0,0,100.0,486,2,2,0
050404,3,3,0,0,100.0,1079,3,0,0
050405,2,2,0,0,100.0,519,1,1,0
050406,3,3,0,0,100.0,1154,5,1,0
050407,7,7,0,0,100.0,5026,10,4,0
050408,11,11,0,0,100.0,7036,11,9,0
050409,1,1,0,0,100.0,1533,1,1,0
050411,2,2,0,0,100.0,518,2,0,0
050501,5,5,0,0,100.0,1705,6,2,0
050502,6,6,0,0,100.0,1662,8,3,0
050503,3,3,0,0,100.0,1547,5,1,0
050504,2,2,0,0,100.0,538,2,1,0
050505,2,2,0,0,100.0,429,2,1,0
050506,2,2,0,0,100.0,425,2,1,0
050507,5,5,0,0,100.0,2051,5,3,0
050508,7,7,0,0,100.0,6235,11,3,1
050509,8,8,0,0,100.0,3975,12,2,0
050510,4,4,0,0,100.0,1818,6,1,0
050601,2,2,0,0,100.0,541,3,1,0
050602,1,1,0,0,100.0,236,1,0,0
050603,1,1,0,0,100.0,278,0,1,0
050605,1,1,0,0,100.0,1459,4,1,0
050606,1,1,0,0,100.0,523,1,1,0
050607,1,1,0,0,100.0,587,2,1,0
050608,2,2,0,0,100.0,944,4,2,0
050609,1,1,0,0,100.0,282,0,1,0
050610,3,3,0,0,100.0,515,1,3,0
050611,2,2,0,0,100.0,1753,3,2,0
050612,1,1,0,0,100.0,697,2,1,1
050613,2,2,0,0,100.0,736,5,2,1
050614,1,1,0,0,100.0,487,1,1,0
050616,1,1,0,0,100.0,530,1,0,0
050617,4,4,0,0,100.0,1073,6,1,0
050618,1,1,0,0,100.0,208,0,1,0
050619,1,1,0,0,100.0,461,2,1,0
050620,1,1,0,0,100.0,856,2,1,0
050621,1,1,0,0,100.0,420,0,1,0
050701,3,3,0,0,100.0,317,2,2,0
050702,4,4,0,0,100.0,961,4,3,0
050703,1,1,0,0,100.0,503,1,1,0
050704,1,1,0,0,100.0,349,1,1,1
050705,3,3,0,0,100.0,847,5,2,0
050706,2,2,0,0,100.0,323,0,2,0
050708,1,1,0,0,100.0,189,0,1,0
050802,1,1,0,0,100.0,337,1,1,1
050803,1,1,0,0,100.0,326,1,1,0
050804,2,2,0,0,100.0,1489,5,2,0
050806,1,1,0,0,100.0,649,2,1,1
050807,1,1,0,0,100.0,277,0,1,0
050808,1,1,0,0,100.0,109,0,1,0
050809,1,1,0,0,100.0,162,1,1,0
050810,1,1,0,0,100.0,508,2,1,0
050901,1,1,0,0,100.0,42,0,1,0
050902,1,1,0,0,100.0,297,2,1,0
050903,1,1,0,0,100.0,252,2,1,0
050904,1,1,0,0,100.0,310,1,1,0
050905,1,1,0,0,100.0,308,2,1,0
050906,2,2,0,0,100.0,996,4,2,0
050907,2,2,0,0,100.0,545,5,2,0
050909,1,1,0,0,100.0,276,2,1,0
