UBIGEO,total_escuelas_pronatel,escuelas_operativas,escuelas_no_operativas,pct_escuelas_operativas
061004,12,0,12,0.00%
061006,1,0,1,0.00%
061007,4,0,4,0.00%
061101,14,0,14,0.00%
061102,2,0,2,0.00%
061103,8,0,8,0.00%
061104,4,0,4,0.00%
061105,4,0,4,0.00%
061106,6,0,6,0.00%
061107,12,0,12,0.00%
061108,2,0,2,0.00%
061109,5,0,5,0.00%
061110,5,0,5,0.00%
061111,12,0,12,0.00%
061112,9,0,9,0.00%
061113,5,0,5,0.00%
061201,19,0,19,0.00%
061202,12,0,12,0.00%
061203,4,0,4,0.00%
061204,5,0,5,0.00%
061301,5,0,5,0.00%
061302,2,0,2,0.00%
061303,13,0,13,0.00%
061304,12,0,12,0.00%
061305,6,0,6,0.00%
061306,8,0,8,0.00%
061307,14,0,14,0.00%
061308,5,0,5,0.00%
061310,5,0,5,0.00%
061311,11,0,11,0.00%
080102,2,2,0,100.00%
080104,1,1,0,100.00%
080201,1,1,0,100.00%
080203,6,6,0,100.00%
080204,1,1,0,100.00%
080205,9,9,0,100.00%
080206,8,8,0,100.00%
080301,3,3,0,100.00%
080302,4,4,0,100.00%
080304,2,2,0,100.00%
080305,2,2,0,100.00%
080306,5,5,0,100.00%
080307,1,1,0,100.00%
080309,1,1,0,100.00%
080401,7,7,0,100.00%
080402,2,2,0,100.00%
080403,3,3,0,100.00%
080404,2,2,0,100.00%
080405,7,7,0,100.00%
080406,3,3,0,100.00%
080407,2,2,0,100.00%
080408,4,4,0,100.00%
080501,5,5,0,100.00%
080502,9,9,0,100.00%
080503,5,5,0,100.00%
080504,2,2,0,100.00%
080505,8,8,0,100.00%
080507,7,7,0,100.00%
080508,2,2,0,100.00%
080601,3,3,0,100.00%
080602,1,1,0,100.00%
080604,3,3,0,100.00%
080701,14,14,0,100.00%
080702,4,4,0,100.00%
080703,10,10,0,100.00%
080704,11,11,0,100.00%
080705,6,6,0,100.00%
080706,6,6,0,100.00%
080707,3,3,0,100.00%
080708,5,5,0,100.00%
080801,1,1,0,100.00%
080802,2,2,0,100.00%
080803,4,4,0,100.00%
080804,2,2,0,100.00%
080805,3,3,0,100.00%
080806,4,4,0,100.00%
080807,3,3,0,100.00%
080808,2,2,0,100.00%
080901,4,4,0,100.00%
080902,13,13,0,100.00%
080903,4,4,0,100.00%
080904,6,6,0,100.00%
080905,2,2,0,100.00%
080906,11,11,0,100.00%
080907,15,15,0,100.00%
080908,3,3,0,100.00%
080909,4,4,0,100.00%
080910,18,18,0,100.00%
080912,2,2,0,100.00%
080913,3,3,0,100.00%
081001,3,3,0,100.00%
081002,4,4,0,100.00%
081003,4,4,0,100.00%
081004,1,1,0,100.00%
081005,5,5,0,100.00%
081006,8,8,0,100.00%
081007,2,2,0,100.00%
081008,3,3,0,100.00%
081009,3,3,0,100.00%
081102,4,4,0,100.00%
081103,9,9,0,100.00%
081104,12,12,0,100.00%
081105,10,10,0,100.00%
081106,2,2,0,100.00%
081201,4,4,0,100.00%
081202,2,2,0,100.00%
081204,2,2,0,100.00%
081205,16,16,0,100.00%
081206,1,1,0,100.00%
081208,3,3,0,100.00%
081210,19,19,0,100.00%
081212,1,1,0,100.00%
081301,1,1,0,100.00%
081302,2,2,0,100.00%
081303,5,5,0,100.00%
081305,5,5,0,100.00%
081306,1,1,0,100.00%
090101,10,10,0,100.00%
090102,4,4,0,100.00%
090103,45,45,0,100.00%
090105,3,3,0,100.00%
090106,2,2,0,100.00%
090107,2,2,0,100.00%
090108,2,2,0,100.00%
090109,2,2,0,100.00%
090110,3,3,0,100.00%
090111,2,2,0,100.00%
090112,1,1,0,100.00%
090113,4,4,0,100.00%
090114,4,4,0,100.00%
090115,2,2,0,100.00%
090116,2,2,0,100.00%
090117,37,37,0,100.00%
090119,9,9,0,100.00%
