UBIGEO,total_establecimientos_salud_pronatel,establecimientos_operativos,establecimientos_no_operativos,pct_establecimientos_operativos
060311,1,0,1,0.00%
060312,3,0,3,0.00%
060401,19,0,19,0.00%
060402,4,0,4,0.00%
060403,5,0,5,0.00%
060404,4,0,4,0.00%
060405,3,0,3,0.00%
060406,2,0,2,0.00%
060407,4,0,4,0.00%
060408,6,0,6,0.00%
060409,8,0,8,0.00%
060410,11,0,11,0.00%
060411,5,0,5,0.00%
060412,1,0,1,0.00%
060413,6,0,6,0.00%
060414,3,0,3,0.00%
060415,7,0,7,0.00%
060416,3,0,3,0.00%
060417,14,0,14,0.00%
060419,11,0,11,0.00%
060502,1,0,1,0.00%
060503,1,0,1,0.00%
060504,2,0,2,0.00%
060505,2,0,2,0.00%
060506,1,0,1,0.00%
060507,1,0,1,0.00%
060601,43,0,43,0.00%
060602,13,0,13,0.00%
060603,3,0,3,0.00%
060604,3,0,3,0.00%
060605,5,0,5,0.00%
060606,5,0,5,0.00%
060607,19,0,19,0.00%
060608,1,0,1,0.00%
060609,2,0,2,0.00%
060610,2,0,2,0.00%
060611,4,0,4,0.00%
060612,8,0,8,0.00%
060613,7,0,7,0.00%
060614,13,0,13,0.00%
060615,2,0,2,0.00%
060701,27,0,27,0.00%
060702,4,0,4,0.00%
060703,9,0,9,0.00%
060801,8,0,8,0.00%
060802,8,0,8,0.00%
060803,2,0,2,0.00%
060804,3,0,3,0.00%
060805,6,0,6,0.00%
060806,2,0,2,0.00%
060807,1,0,1,0.00%
060808,1,0,1,0.00%
060809,1,0,1,0.00%
060810,1,0,1,0.00%
060811,5,0,5,0.00%
060812,6,0,6,0.00%
060901,13,0,13,0.00%
060902,5,0,5,0.00%
060903,10,0,10,0.00%
060904,13,0,13,0.00%
060905,4,0,4,0.00%
060906,12,0,12,0.00%
060907,3,0,3,0.00%
061001,3,0,3,0.00%
061002,3,0,3,0.00%
061003,1,0,1,0.00%
061004,4,0,4,0.00%
061007,1,0,1,0.00%
061101,3,0,3,0.00%
061102,2,0,2,0.00%
061103,1,0,1,0.00%
061104,1,0,1,0.00%
061105,2,0,2,0.00%
061106,1,0,1,0.00%
061107,5,0,5,0.00%
061108,1,0,1,0.00%
061109,2,0,2,0.00%
061110,3,0,3,0.00%
061111,5,0,5,0.00%
061112,2,0,2,0.00%
061113,2,0,2,0.00%
061201,3,0,3,0.00%
061202,3,0,3,0.00%
061203,2,0,2,0.00%
061204,1,0,1,0.00%
061301,2,0,2,0.00%
061302,1,0,1,0.00%
061303,6,0,6,0.00%
061304,4,0,4,0.00%
061305,2,0,2,0.00%
061306,3,0,3,0.00%
061307,3,0,3,0.00%
061308,2,0,2,0.00%
061310,3,0,3,0.00%
061311,3,0,3,0.00%
080102,1,1,0,100.00%
080104,1,1,0,100.00%
080202,1,1,0,100.00%
080203,1,1,0,100.00%
080205,3,3,0,100.00%
080206,1,1,0,100.00%
080207,1,1,0,100.00%
080301,2,2,0,100.00%
080302,1,1,0,100.00%
080305,1,1,0,100.00%
080306,2,2,0,100.00%
080307,1,1,0,100.00%
080401,2,2,0,100.00%
080402,2,2,0,100.00%
080403,2,2,0,100.00%
080404,1,1,0,100.00%
080405,3,3,0,100.00%
080406,1,1,0,100.00%
080407,2,2,0,100.00%
080408,1,1,0,100.00%
080501,1,1,0,100.00%
080502,1,1,0,100.00%
080503,1,1,0,100.00%
080504,1,1,0,100.00%
080505,1,1,0,100.00%
080507,2,2,0,100.00%
080508,1,1,0,100.00%
080601,1,1,0,100.00%
080603,2,2,0,100.00%
080604,1,1,0,100.00%
080605,1,1,0,100.00%
080701,7,7,0,100.00%
080702,2,2,0,100.00%
080703,4,4,0,100.00%
080704,4,4,0,100.00%
080705,2,2,0,100.00%
080706,2,2,0,100.00%
080707,1,1,0,100.00%
080708,1,1,0,100.00%
080801,1,1,0,100.00%
080802,1,1,0,100.00%
080803,1,1,0,100.00%
080804,1,1,0,100.00%
080805,1,1,0,100.00%
080806,2,2,0,100.00%
080808,1,1,0,100.00%
080901,4,4,0,100.00%
080902,5,5,0,100.00%
080903,2,2,0,100.00%
080904,3,3,0,100.00%
080905,2,2,0,100.00%
080906,4,4,0,100.00%
080907,8,8,0,100.00%
080908,1,1,0,100.00%
080909,1,1,0,100.00%
080910,7,7,0,100.00%
080912,1,1,0,100.00%
080913,1,1,0,100.00%
081002,1,1,0,100.00%
081003,2,2,0,100.00%
081004,1,1,0,100.00%
081005,1,1,0,100.00%
081006,3,3,0,100.00%
081007,1,1,0,100.00%
081008,1,1,0,100.00%
081009,1,1,0,100.00%
081102,1,1,0,100.00%
081103,1,1,0,100.00%
081104,3,3,0,100.00%
081105,1,1,0,100.00%
081106,2,2,0,100.00%
081203,1,1,0,100.00%
081204,1,1,0,100.00%
081205,2,2,0,100.00%
081207,1,1,0,100.00%
081208,1,1,0,100.00%
081209,1,1,0,100.00%
081210,2,2,0,100.00%
081212,2,2,0,100.00%
081301,1,1,0,100.00%
081302,1,1,0,100.00%
081303,1,1,0,100.00%
081305,1,1,0,100.00%
090101,4,4,0,100.00%
090102,2,2,0,100.00%
090103,16,16,0,100.00%
090105,3,3,0,100.00%
090106,1,1,0,100.00%
090107,1,1,0,100.00%
090108,1,1,0,100.00%
090109,1,1,0,100.00%
090110,3,3,0,100.00%
090111,1,1,0,100.00%
090112,2,2,0,100.00%
090113,2,2,0,100.00%
090114,4,4,0,100.00%
090115,1,1,0,100.00%
090116,3,3,0,100.00%
090117,18,18,0,100.00%
090119,3,3,0,100.00%
090201,2,2,0,100.00%
090202,4,4,0,100.00%
090203,7,7,0,100.00%
090204,3,3,0,100.00%
090205,2,2,0,100.00%
090206,7,7,0,100.00%
090207,5,5,0,100.00%
090208,8,8,0,100.00%
090301,9,9,0,100.00%
090302,7,7,0,100.00%
090303,1,1,0,100.00%
090304,2,2,0,100.00%
090306,4,4,0,100.00%
090307,2,2,0,100.00%
090308,1,1,0,100.00%
090309,1,1,0,100.00%
090311,3,3,0,100.00%
090312,1,1,0,100.00%
090402,2,2,0,100.00%
090403,1,1,0,100.00%
090404,1,1,0,100.00%
090405,1,1,0,100.00%
090406,1,1,0,100.00%
090407,3,3,0,100.00%
090408,1,1,0,100.00%
090409,1,1,0,100.00%
090410,1,1,0,100.00%
090411,1,1,0,100.00%
090412,1,1,0,100.00%
090413,1,1,0,100.00%
090502,4,4,0,100.00%
090503,1,1,0,100.00%
090504,2,2,0,100.00%
090506,2,2,0,100.00%
090507,5,5,0,100.00%
090508,1,1,0,100.00%
090509,1,1,0,100.00%
090510,4,4,0,100.00%
090511,2,2,0,100.00%
090602,1,1,0,100.00%
090603,1,1,0,100.00%
090604,1,1,0,100.00%
090605,1,1,0,100.00%
090606,3,3,0,100.00%
090607,1,1,0,100.00%
090608,1,1,0,100.00%
090609,1,1,0,100.00%
090610,1,1,0,100.00%
090611,1,1,0,100.00%
090612,1,1,0,100.00%
090613,4,4,0,100.00%
090614,1,1,0,100.00%
090615,2,2,0,100.00%
090616,1,1,0,100.00%
090701,3,3,0,100.00%
090702,2,2,0,100.00%
090703,2,2,0,100.00%
090704,3,3,0,100.00%
090705,4,4,0,100.00%
090706,3,3,0,100.00%
090707,2,2,0,100.00%
090709,7,7,0,100.00%
090710,1,1,0,100.00%
090711,2,2,0,100.00%
090713,1,1,0,100.00%
090714,4,4,0,100.00%
090715,4,4,0,100.00%
090716,2,2,0,100.00%
090717,3,3,0,100.00%
090718,2,2,0,100.00%
090719,4,4,0,100.00%
090720,1,1,0,100.00%
090723,1,1,0,100.00%
100101,2,0,2,0.00%
100102,3,0,3,0.00%
100104,5,0,5,0.00%
100105,2,0,2,0.00%
100106,2,0,2,0.00%
100107,1,0,1,0.00%
100108,1,0,1,0.00%
100109,6,0,6,0.00%
100110,1,0,1,0.00%
100111,1,0,1,0.00%
100112,4,0,4,0.00%
100113,1,0,1,0.00%
100201,3,0,3,0.00%
100202,1,0,1,0.00%
100203,3,0,3,0.00%
100205,3,0,3,0.00%
100206,1,0,1,0.00%
100207,4,0,4,0.00%
100208,1,0,1,0.00%
100307,3,0,3,0.00%
100311,2,0,2,0.00%
100313,3,0,3,0.00%
100316,1,0,1,0.00%
100317,3,0,3,0.00%
100321,1,0,1,0.00%
100401,1,0,1,0.00%
100402,2,0,2,0.00%
100403,1,0,1,0.00%
100404,3,0,3,0.00%
100501,2,0,2,0.00%
100502,1,0,1,0.00%
100503,3,0,3,0.00%
100504,5,0,5,0.00%
100505,1,0,1,0.00%
100506,1,0,1,0.00%
100507,7,0,7,0.00%
100508,1,0,1,0.00%
100509,2,0,2,0.00%
100510,4,0,4,0.00%
100511,3,0,3,0.00%
100601,1,0,1,0.00%
100602,1,0,1,0.00%
100603,2,0,2,0.00%
100604,2,0,2,0.00%
100605,5,0,5,0.00%
100606,1,0,1,0.00%
100607,1,0,1,0.00%
100609,1,0,1,0.00%
100610,1,0,1,0.00%
100701,3,0,3,0.00%
100703,3,0,3,0.00%
100704,1,0,1,0.00%
100801,1,0,1,0.00%
100802,1,0,1,0.00%
100803,3,0,3,0.00%
100804,3,0,3,0.00%
100901,3,0,3,0.00%
100902,6,0,6,0.00%
100903,5,0,5,0.00%
100904,1,0,1,0.00%
100905,1,0,1,0.00%
101001,1,0,1,0.00%
101002,1,0,1,0.00%
101003,1,0,1,0.00%
101004,1,0,1,0.00%
101005,3,0,3,0.00%
101006,2,0,2,0.00%
101007,1,0,1,0.00%
101101,2,0,2,0.00%
101103,1,0,1,0.00%
101104,2,0,2,0.00%
101106,5,0,5,0.00%
110102,1,0,1,0.00%
110103,4,4,0,100.00%
110104,2,2,0,100.00%
110105,1,1,0,100.00%
110107,4,3,1,75.00%
110109,2,1,1,50.00%
110111,4,4,0,100.00%
110113,3,3,0,100.00%
110114,3,2,1,66.67%
110203,1,1,0,100.00%
110204,1,0,1,0.00%
